state,date,new_cases_jhu,new_deaths_jhu,Excess Lower Estimate,Excess Higher Estimate,mid_point_xs_deaths,corr_new_deaths,est_inf,pro_chg_est_inf,mobile_infectious,phi,population,est_inf_per_100k,new_cases_per_100k,state_id,rho,weekly_exposures,pro_chg_weekly_exposures,density_cor_exposure,psi,enc_w_inf,new_results_reported,positive_results,test_positivity_rate
Alabama,2020-06-20,4319,65,0.0,34.0,17.0,82.0,24852.0,0.2246,20294.0,0.004138942340539874,4903185,506.8542182275399,88.08560150188092,AL,0.5147310508840277,1931.0887425,0.04424223727048281,993.9913377773406,0.1232001081827659,4.114072834056507,60265,7705,0.8855692016828827
Alabama,2020-06-27,5400,81,29.0,85.0,57.0,138.0,35735.0,0.4379,24852.0,0.005068542182275398,4903185,728.8119864944929,110.13249551057119,AL,0.5147310508840277,1812.439295,-0.06144173744516569,932.9187829788563,0.15413050609435355,4.7285382041653605,73810,9092,0.8637429360076742
Alabama,2020-07-04,8133,88,50.0,112.0,81.0,169.0,41397.0,0.1584,35735.0,0.007288119864944929,4903185,844.2879475279843,165.87177518286583,AL,0.5147310508840277,1774.0151850000002,-0.02120021901202473,913.1407004592729,0.12686370258580582,6.655078878506954,81345,11447,0.9869716476961059
Alabama,2020-07-11,9586,107,106.0,166.0,136.0,243.0,38382.0,-0.0728,41397.0,0.008442879475279844,4903185,782.7973042012488,195.5055744378399,AL,0.5147310508840277,1747.4677575,-0.014964599922519906,899.4759152039303,0.10307876172517126,7.594166742983816,89085,14358,1.1589102126104784
Alabama,2020-07-18,13379,172,81.0,138.0,109.5,281.5,39117.0,0.0191,38382.0,0.007827973042012487,4903185,797.7875605346321,272.86345508072816,AL,0.5147310508840277,1762.75587,0.008748723651343191,907.3451814170885,0.11232214842249345,7.102673619932898,109934,18250,1.1657514837215366
Alabama,2020-07-25,12007,170,63.0,119.0,91.0,261.0,41029.0,0.0489,39117.0,0.00797787560534632,4903185,836.7826219080047,244.88164325841265,AL,0.5147310508840277,1736.6147125000002,-0.014829709516156503,893.8895159457887,0.11733877456922885,7.131339363138738,104781,16950,1.1426162093515326
Alabama,2020-08-01,12111,147,92.0,146.0,119.0,266.0,34117.0,-0.1685,41029.0,0.008367826219080048,4903185,695.8130276544736,247.00271354231995,AL,0.5147310508840277,1748.2241199999999,0.006685079549560497,899.8652384684045,0.09240648017318434,7.529915936094635,104392,15001,1.0152158129065674
Alabama,2020-08-08,9555,152,96.0,158.0,127.0,279.0,32720.0,-0.0409,34117.0,0.006958130276544736,4903185,667.3213431677573,194.87333233398292,AL,0.5147310508840277,1803.17682,0.03143344115398663,928.1510994883192,0.10332936870056153,6.458196266557959,97309,11598,0.8600810078054418
Alabama,2020-08-15,7072,141,61.0,121.0,91.0,232.0,28014.0,-0.1438,32720.0,0.006673213431677573,4903185,571.3429128209522,144.2327793056962,AL,0.5147310508840277,1735.6428699999997,-0.03745276073369235,893.3892784344697,0.09583432606582705,5.961777332565639,114060,9044,0.5839593722160507
Alabama,2020-08-22,7883,115,79.0,136.0,107.5,222.5,28308.0,0.0105,28014.0,0.005713429128209521,4903185,577.3390153543054,160.77304853885792,AL,0.5147310508840277,1730.6992175,-0.0028483120493558935,890.8446269879395,0.11343108798223334,5.089777640541839,105897,8658,0.5818790110784497
Alabama,2020-08-29,9346,141,21.0,78.0,49.5,190.5,25000.0,-0.1169,28308.0,0.005773390153543054,4903185,509.8726644007926,190.61079685959228,AL,0.5147310508840277,1680.8191174999997,-0.028820779194695806,865.1697906967389,0.10207737071194088,4.994962750751458,90627,9411,0.6996678872131566
Alabama,2020-09-05,6759,123,42.0,97.0,69.5,192.5,20073.0,-0.1971,25000.0,0.005098726644007926,4903185,409.3869597006844,137.84917354739827,AL,0.5147310508840277,1762.5842125,0.048645981086659205,907.2568239717214,0.08849974767729347,4.625854541342624,84220,7088,0.6286399591132061
Alabama,2020-09-12,6252,75,65.0,125.0,95.0,170.0,19852.0,-0.011,20073.0,0.004093869597006843,4903185,404.8796853473814,127.5089559133502,AL,0.5147310508840277,1655.3677224999997,-0.06082914463867085,852.0691674019243,0.11606923752884021,3.4882600589736725,80223,6231,0.5866787136828879
Alabama,2020-09-19,6412,87,18.0,81.0,49.5,136.5,8750.0,-0.5592,19852.0,0.004048796853473814,4903185,178.4554325402774,130.77214096551526,AL,0.5147310508840277,1624.8941649999997,-0.01840893542008759,836.3834811257746,0.05269851043852836,3.386346806679511,88497,6287,0.5209059320360485
Alabama,2020-09-26,7387,64,40.0,102.0,71.0,135.0,23455.0,1.6806,8750.0,0.001784554325402774,4903185,478.3625337408236,150.6571748771462,AL,0.5147310508840277,1715.9372349999999,0.05603015381620266,883.2461762225828,0.3034908614080329,1.5762007841734709,87535,5944,0.4997652039299082
Alabama,2020-10-03,7216,57,0.0,5.0,2.5,59.5,26691.0,0.138,23455.0,0.004783625337408236,4903185,544.3604514208622,147.16964585264478,AL,0.5147310508840277,1783.1810625000003,0.03918781300879016,917.8586622171223,0.12398056098674269,4.390691952741453,85673,5833,0.49953291801305194
Alabama,2020-10-10,6517,106,25.0,82.0,53.5,159.5,14926.0,-0.4408,26691.0,0.005443604514208621,4903185,304.4143755538492,132.9136061559986,AL,0.5147310508840277,1733.328585,-0.02795704740723731,892.1980440843747,0.0626783168018517,4.856773300345805,88315,6503,0.5457192545378291
Alabama,2020-10-17,7439,124,28.0,87.0,57.5,181.5,17867.0,0.197,14926.0,0.0030441437555384916,4903185,364.3957957939584,151.71771001909983,AL,0.5147310508840277,1752.1608649999998,0.010864806686379003,901.891603359317,0.13272534303622643,2.745487692538863,89802,7105,0.6128324441317697
Alabama,2020-10-24,11694,78,0.0,47.0,23.5,101.5,29705.0,0.6626,17867.0,0.003643957957939584,4903185,605.8306998410217,238.49803750011472,AL,0.5147310508840277,1756.6123875,0.002540590073046882,904.182940213776,0.18387454481681473,3.2948046204252,94586,8537,0.655437278012057
